cal_parms.cal:,written,by,SWAT+,editor,v3.0.8,on,11/10/2025,14:48,for,SWAT+,rev.61.0.1
223,,,,,,,,,,,
flag,name,obj_typ,chg_typ,abs_min,abs_max,units,description,,,,
0,cn2,hru,,35,95,null,,,,,
0,cn3_swf,hru,,0,1,null,,,,,
0,usle_p,hru,,0,1,null,,,,,
0,ovn,hru,,0.01,30,null,,,,,
0,elev,hru,,0,5000,m,,,,,
0,slope,hru,,0.0001,0.9,m/m,,,,,
0,slope_len,hru,,10,150,m,,,,,
0,lat_ttime,hru,,0.5,180,days,,,,,
0,lat_sed,hru,,0,5000,g/L,,,,,
0,lat_len,hru,,1,150,m,,,,,
0,latq_co,hru,,0,1,null,,,,,
0,canmx,hru,,0,100,mm/H20,,,,,
0,esco,hru,,0,1,null,,,,,
0,epco,hru,,0,1,null,,,,,
0,erorgn,hru,,0,5,null,,,,,
0,erorgp,hru,,0,5,null,,,,,
0,dis_stream,hru,,0,100000,m,,,,,
0,biomix,hru,,0,1,null,,,,,
0,perco,hru,,0,1,fraction,,,,,
0,petco,hru,,0.8,1.2,fraction,,,,,
0,lat_orgn,hru,,0,200,mg/l,,,,,
0,lat_orgp,hru,,0,200,mg/l,,,,,
0,field_len,hru,,0.01,2,km,,,,,
0,field_wid,hru,,0.01,2,km,,,,,
0,field_ang,hru,,0,360,degrees,,,,,
0,snofall_tmp,hru,,-5,5,degrees,,,,,
0,snomelt_tmp,hru,,-5,5,degrees,,,,,
0,snomelt_max,hru,,0,10,mm/deg/c/day,,,,,
0,snomelt_min,hru,,0,10,mm/deg/c/day,,,,,
0,snomelt_lag,hru,,0,1,none,,,,,
0,tile_dep,hru,,0,2000,mm,,,,,
0,tile_dtime,hru,,0,72,hrs,,,,,
0,tile_lag,hru,,0,100,hrs,,,,,
0,tile_rad,hru,,3,40,mm,,,,,
0,tile_dist,hru,,7600,30000,mm,,,,,
0,tile_drain,hru,,10,51,mm/day,,,,,
0,tile_pump,hru,,0,10,mm/hr,,,,,
0,tile_latk,hru,,0.01,4,null,,,,,
0,anion_excl,sol,,0.1,0.9,null,,,,,
0,crk,sol,,0,1,null,,,,,
0,z,sol,,0,3500,mm,,,,,
0,bd,sol,,0.9,2.5,mg/m**3,,,,,
0,awc,sol,,0.01,1,mm_H20/mm,,,,,
0,k,sol,,0.0001,2000,mm/hr,,,,,
0,cbn,sol,,0.05,10,%,,,,,
0,clay,sol,,0,100,null,,,,,
0,silt,sol,,0,100,%,,,,,
0,sand,sol,,0,100,null,,,,,
0,rock,sol,,0,100,%,,,,,
0,alb,sol,,0,0.25,null,,,,,
0,usle_k,sol,,0,0.65,null,,,,,
0,ec,sol,,0,100,dS/m,,,,,
0,cal,sol,,0,65,%,,,,,
0,ph,sol,,3,10,null,,,,,
0,plaps,bsn,,0,200,null,,,,,
0,tlaps,bsn,,-10,10,null,,,,,
0,surlag,bsn,,0.05,24,days,,,,,
0,adj_pkr,bsn,,0.5,2,null,,,,,
0,prf,bsn,,0,2,null,,,,,
0,evrch,bsn,,0.5,1,null,,,,,
0,evlai,bsn,,0,10,null,,,,,
0,ffcb,bsn,,0,1,null,,,,,
0,cmn,bsn,,0.001,0.003,null,,,,,
0,nperco,bsn,,0,1,null,,,,,
0,pperco,bsn,,5,20,null,,,,,
0,phoskd,bsn,,100,400,null,,,,,
0,psp,bsn,,0.01,0.7,null,,,,,
0,rsdco,bsn,,0.02,0.1,null,,,,,
0,percop,bsn,,0,1,null,,,,,
0,msk_co1,bsn,,0,10,null,,,,,
0,msk_co2,bsn,,0,10,null,,,,,
0,msk_x,bsn,,0,0.3,null,,,,,
0,cdn,bsn,,0,3,null,,,,,
0,tb_adj,bsn,,0,1,null,,,,,
0,sdnco,bsn,,0,1,null,,,,,
0,n_updis,bsn,,0,100,null,,,,,
0,p_updis,bsn,,0,100,null,,,,,
0,dorm_hr,bsn,,0,24,hours,,,,,
0,rs1,swq,,0.15,1.82,m/hr,,,,,
0,rs2,swq,,0.001,0.5,(mg_disP-P)/((m**2)*hr),,,,,
0,rs3,swq,,0.001,2,(mg_NH4-N)/((m**2)*hr),,,,,
0,rs4,swq,,0.001,0.1,1/day_or_1/hr,,,,,
0,rs5,swq,,0.001,0.1,1/day_or_1/hr,,,,,
0,rs6,swq,,0.01,10,1/day,,,,,
0,rs7,swq,,0.01,10,(mg_ANC),,,,,
0,rk1,swq,,0.02,3.4,1/day_or_1/hr,,,,,
0,rk2,swq,,0,100,1/day_or_1/hr,,,,,
0,rk3,swq,,-0.36,0.36,1/day_or_1/hr,,,,,
0,rk4,swq,,0,100,((m**2)*day),,,,,
0,rk5,swq,,0.05,4,1/day,,,,,
0,rk6,swq,,0,10,1/day,,,,,
0,bc1,swq,,0.1,1,1/hr,,,,,
0,bc2,swq,,0.2,2,1/hr,,,,,
0,bc3,swq,,0.2,0.4,1/hr,,,,,
0,bc4,swq,,0.01,0.7,1/hr,,,,,
0,rch_dox,swq,,0,50,mg/L,,,,,
0,rch_cbod,swq,,0,1000,mg/L,,,,,
0,algae,swq,,0,200,mg/L,,,,,
0,organicn,swq,,0,100,mg/L,,,,,
0,ammonian,swq,,0,50,mg/L,,,,,
0,nitriten,swq,,0,100,mg/L,,,,,
0,organicp,swq,,0,25,mg/L,,,,,
0,disolvp,swq,,0,25,mg/L,,,,,
0,chw,rte,,0,1000,m,,,,,
0,chd,rte,,0,30,m,,,,,
0,chs,rte,,-0.001,10,m/m,,,,,
0,chl,rte,,-0.05,500,km,,,,,
0,chn,rte,,-0.01,0.3,null,,,,,
0,chk,rte,,-0.01,500,mm/hr,,,,,
0,cherod,rte,,-0.05,0.6,null,,,,,
0,cov,rte,,-0.001,10,null,,,,,
0,flood_sedfrac,rte,,0.1,0.9,fraction,,,,,
0,d50,rte,,0.00001,1000,mm,,,,,
0,ch_clay,rte,,0,100,%,,,,,
0,carbon,rte,,0,50,%,,,,,
0,ch_bd,rte,,0.9,1.9,(g/cm**3),,,,,
0,chss,rte,,0,5,null,,,,,
0,bankfull_flo,rte,,0.5,1.5,fraction,,,,,
0,fps,rte,,1.1,1.9,m/m,,,,,
0,fpn,rte,,0.01,0.5,null,,,,,
0,hc_kh,rte,,0.001,3.75,cm3/N-s,,,,,
0,hc_hgt,rte,,0.05,5,m,,,,,
0,hc_ini,rte,,0,10000,m,,,,,
0,vol,res,,10,100,m**3,,,,,
0,sed,res,,1,5000,kg/L,,,,,
0,orgp,res,,0,1,kg,,,,,
0,orgn,res,,0,1,kg,,,,,
0,solp,res,,0,1,kg,,,,,
0,no3,res,,0,1,kg,,,,,
0,nh3,res,,0,1,kg,,,,,
0,no2,res,,0,1,kg,,,,,
0,esa,res,,0,3000,ha,,,,,
0,evol,res,,15,3000,10^4_m^3_H20,,,,,
0,psa,res,,1,1000,ha,,,,,
0,pvol,res,,10,100,10^4_m^3_H20,,,,,
0,k_res,res,,0,1,mm/hr,,,,,
0,evrsv,res,,0,1,null,,,,,
0,nsed,res,,1,5000,mg/L,,,,,
0,psetlr1,res,,2,20,m/day,,,,,
0,psetlr2,res,,2,20,m/day,,,,,
0,nsetlr1,res,,1,15,m/day,,,,,
0,nsetlr2,res,,1,15,m/day,,,,,
0,chlar,res,,0.5,2,none,,,,,
0,seccir,res,,0.5,2,none,,,,,
0,alpha,aqu,,0,1,days,,,,,
0,bf_max,aqu,,0.1,2,mm,,,,,
0,deep_seep,aqu,,0.001,0.4,m/m,,,,,
0,sp_yld,aqu,,0,0.5,fraction,,,,,
0,flo_min,aqu,,0,50,m,,,,,
0,revap_co,aqu,,0.02,0.2,null,,,,,
0,revap_min,aqu,,0,50,m,,,,,
0,cn2_lte,hlt,,25,98,null,,,,,
0,awc_lte,hlt,,0.01,1,mm_H20/mm,,,,,
0,etco_lte,hlt,,0,1,null,,,,,
0,tc_lte,hlt,,1,86400,min,,,,,
0,soildep_lte,hlt,,10,10000,mm,,,,,
0,slope_lte,hlt,,0,1,m/m,,,,,
0,slopelen_lte,hlt,,10,150,m,,,,,
0,sy_lte,hlt,,0.001,0.8,mm,,,,,
0,abf_lte,hlt,,0,1,days,,,,,
0,revapc_lte,hlt,,0.02,0.2,null,,,,,
0,percc_lte,hlt,,0,0.9,fraction,,,,,
0,sw_lte,hlt,,0,1,fraction,,,,,
0,gw_lte,hlt,,0,10000,mm,,,,,
0,gwflow_lte,hlt,,0,10,mm,,,,,
0,gwdeep_lte,hlt,,0,10,mm,,,,,
0,snow_lte,hlt,,0,1000,mm,,,,,
0,uslek_lte,hlt,,0,0.65,null,,,,,
0,uslec_lte,hlt,,0,1,null,,,,,
0,uslep_lte,hlt,,0,1,null,,,,,
0,uslels_lte,hlt,,0,1,null,,,,,
0,pst_koc,pst,,0,1,m**3/g,,,,,
0,pst_washoff,pst,,0,1,null,,,,,
0,pst_foliar_hlife,pst,,0,10000,days,,,,,
0,pst_soil_hlife,pst,,0,100000,days,,,,,
0,pst_solub,pst,,0,11000000,mg/L,,,,,
0,pst_aq_hlife,pst,,0,10000,1/day,,,,,
0,pst_aq_volat,pst,,0,10,m/day,,,,,
0,pst_aq_settle,pst,,0,10,m/day,,,,,
0,pst_aq_resus,pst,,0,1,m/day,,,,,
0,pst_ben_hlife,pst,,0,10000,1/day,,,,,
0,pst_ben_bury,pst,,0,0.1,m/day,,,,,
0,pst_ben_act_dep,pst,,0,1,m,,,,,
0,cbn_init,aqu,,0,20,%,,,,,
0,dep_bot,aqu,,1,50,m,,,,,
0,dep_wt_init,aqu,,0,50,m,,,,,
0,flo_dist,aqu,,0,300,m,,,,,
0,flo_init_mm,aqu,,0,5,mm,,,,,
0,hlife_n,aqu,,0,365,days,,,,,
0,minp_init,aqu,,0,10,kg,,,,,
0,no3_init,aqu,,0,30,ppm,,,,,
0,phu_mat,plt,,50,6000,deg_C,,,,,
0,lai_pot,plt,,0.01,12,m/m,,,,,
0,harv_idx,plt,,0.01,0.95,null,,,,,
0,drawdown_days,rdt,,0.05,5000,days,,,,,
0,withdraw_rate,rdt,,0,100000,m3/s,,,,,
0,nperco_lchtile,bsn,,0,1,null,,,,,
0,arc_len_fr,rte,,0.5,2,frac,,,,,
0,ch_n_conc,rte,,0,500,mg/kg,,,,,
0,ch_p_bio,rte,,0,1,frac,,,,,
0,ch_p_conc,rte,,0,50.9,mg/kg,,,,,
0,fp_inun_days,rte,,0.05,30,days,,,,,
0,hum_c_n,sol,,0,20,mg/kg,,,,,
0,hum_c_p,sol,,0,160,mg/kg,,,,,
0,lab_p,sol,,0,30,mg/kg,,,,,
0,n_dep_enr,rte,,0.2,1,frac,,,,,
0,n_setl,rte,,0.05,0.9,frac,,,,,
0,n_sol_part,rte,,0.001,0.1,null,,,,,
0,p_dep_enr,rte,,0.2,1,frac,,,,,
0,p_setl,rte,,0.05,0.9,frac,,,,,
0,p_sol_part,rte,,0.001,0.1,null,,,,,
0,part_size,rte,,0.001,0.01,mm,,,,,
0,pk_rto,rte,,1,3,null,,,,,
0,sed_stlr,res,,0.1,2,null,,,,,
0,velsetlr,res,,0.1,15,m/day,,,,,
0,wash_bed_fr,rte,,0,0.8,frac,,,,,
0,aquifer_K,gwf,,0.0001,40,m/day,,,,,
0,aquifer_Sy,gwf,,0.001,0.6,m3/m3,,,,,
0,aquifer_delay,hru,,0,1000,days,,,,,
0,aquifer_exdp,gwf,,0,4,m,,,,,
0,stream_K,gwf_riv,,0,0.01,m/day,,,,,
0,stream_thk,gwf_riv,,0.01,2,m,,,,,
0,stream_bed,gwf_sgl,,0,20,m,,,,,
