# iHydroCal SWAT+ parameter database
# Edit flag=1 to activate a parameter. chg_type can be blank; iHydroCal will use pctchg by default.
"# obj_ids blank means all objects. Use comma-separated IDs like ""1,2,3"" for selected objects."
# Generated from:,"cal_parms.cal:,written,by,SWAT+,editor,v3.0.8,on,11/10/2025,14:48,for,SWAT+,rev.61.0.1"
223,,,,,,,,,,,,,,,,,,,,,,,,
flag,name,chg_type,val,obj_typ,obj_ids,conds,lyr1,lyr2,year1,year2,day1,day2,obj_tot,abs_min,abs_max,parlbnd,parubnd,partrans,pargp,scale,offset,dercom,units,description
0,cn2,,1.0e-7,hru,,0,0,0,0,0,0,0,0,35,95,-50,50,none,cn2,1.0,0.0,1,null,
0,cn3_swf,,1.0e-7,hru,,0,0,0,0,0,0,0,0,0,1,-50,50,none,cn3_swf,1.0,0.0,1,null,
0,usle_p,,1.0e-7,hru,,0,0,0,0,0,0,0,0,0,1,-50,50,none,usle_p,1.0,0.0,1,null,
0,ovn,,1.0e-7,hru,,0,0,0,0,0,0,0,0,0.01,30,-50,50,none,ovn,1.0,0.0,1,null,
0,elev,,1.0e-7,hru,,0,0,0,0,0,0,0,0,0,5000,-50,50,none,elev,1.0,0.0,1,m,
0,slope,,1.0e-7,hru,,0,0,0,0,0,0,0,0,0.0001,0.9,-50,50,none,slope,1.0,0.0,1,m/m,
0,slope_len,,1.0e-7,hru,,0,0,0,0,0,0,0,0,10,150,-50,50,none,slope_len,1.0,0.0,1,m,
0,lat_ttime,,1.0e-7,hru,,0,0,0,0,0,0,0,0,0.5,180,-50,50,none,lat_ttime,1.0,0.0,1,days,
0,lat_sed,,1.0e-7,hru,,0,0,0,0,0,0,0,0,0,5000,-50,50,none,lat_sed,1.0,0.0,1,g/L,
0,lat_len,,1.0e-7,hru,,0,0,0,0,0,0,0,0,1,150,-50,50,none,lat_len,1.0,0.0,1,m,
0,latq_co,,1.0e-7,hru,,0,0,0,0,0,0,0,0,0,1,-50,50,none,latq_co,1.0,0.0,1,null,
0,canmx,,1.0e-7,hru,,0,0,0,0,0,0,0,0,0,100,-50,50,none,canmx,1.0,0.0,1,mm/H20,
0,esco,,1.0e-7,hru,,0,0,0,0,0,0,0,0,0,1,-50,50,none,esco,1.0,0.0,1,null,
0,epco,,1.0e-7,hru,,0,0,0,0,0,0,0,0,0,1,-50,50,none,epco,1.0,0.0,1,null,
0,erorgn,,1.0e-7,hru,,0,0,0,0,0,0,0,0,0,5,-50,50,none,erorgn,1.0,0.0,1,null,
0,erorgp,,1.0e-7,hru,,0,0,0,0,0,0,0,0,0,5,-50,50,none,erorgp,1.0,0.0,1,null,
